,timestamp,AVDD_Wert,DVDD_Wert,Relation_Wert,Resistance_Wert
252,1756400610.2397892,4.953918457,3.3154296875,0.5559186303509868,70214.0
538,1756400675.168608,4.9514770508,3.3154296875,0.556033689253137,73096.0
894,1756400755.979537,4.9517822266,3.3151245117,0.5555785694623929,76744.0
1156,1756400815.4506898,4.9517822266,3.3154296875,0.5561717599538144,85770.0
1783,1756400957.7835925,4.9517822266,3.3151245117,0.5567522783792881,93464.0
2206,1756401053.81575,4.9520874023,3.3151245117,0.557304611992562,98810.0
2552,1756401132.3811512,4.9520874023,3.3151245117,0.5577879038853236,103874.0
2990,1756401231.8160155,4.9520874023,3.3154296875,0.5585189617145213,111416.0
3421,1756401329.6064043,4.9520874023,3.3151245117,0.559030654522731,119199.0
3679,1756401388.1727502,4.9530029297,3.3151245117,0.5606186136420404,132513.0
3939,1756401447.1942077,4.9520874023,3.3151245117,0.5614701279637611,141465.0
4297,1756401528.446949,4.9566650391,3.3151245117,0.5614241001601412,141667.0
